timestamp,spi_sent
2026-01-10 16:42:53,44 72 62 46 0 75 18 0 0
2026-01-10 16:42:58,44 72 62 46 0 75 18 0 0
2026-01-10 16:43:03,44 72 62 46 0 75 18 0 0
2026-01-10 16:43:08,44 72 62 46 0 75 18 0 0
2026-01-10 16:43:13,44 72 62 46 0 75 18 0 0
2026-01-10 16:43:18,44 72 62 46 0 75 18 0 0
2026-01-10 16:43:23,44 72 62 46 0 75 18 0 0
2026-01-10 16:43:28,44 72 62 46 0 75 18 0 0
2026-01-10 16:43:33,44 72 62 46 0 75 18 0 0
2026-01-10 16:43:38,44 72 62 46 0 75 18 0 0
2026-01-10 16:43:43,44 72 62 46 0 75 18 0 0
2026-01-10 16:43:48,44 72 62 46 0 75 18 0 0
2026-01-10 16:43:53,44 72 62 46 0 75 18 0 0
2026-01-10 16:43:53,44 72 62 46 0 75 18 0 0
2026-01-10 16:43:58,44 72 62 46 0 75 18 0 0
2026-01-10 16:44:03,44 72 62 46 0 75 18 0 0
2026-01-10 16:44:08,44 72 62 46 0 75 18 0 0
2026-01-10 16:44:13,44 72 62 46 0 75 18 0 0
2026-01-10 16:44:18,44 72 62 46 0 75 18 0 0
2026-01-10 16:44:23,44 72 62 46 0 75 18 0 0
2026-01-10 16:44:28,44 72 62 46 0 75 18 0 0
2026-01-10 16:44:33,44 72 62 46 0 75 18 0 0
2026-01-10 16:44:38,44 72 62 46 0 75 18 0 0
2026-01-10 16:44:43,44 72 62 46 0 75 18 0 0
2026-01-10 16:44:48,44 72 62 46 0 75 18 0 0
2026-01-10 16:44:53,44 72 62 46 0 75 18 0 0
2026-01-10 16:44:58,44 72 62 46 0 75 18 0 0
2026-01-10 16:45:03,44 72 62 46 0 75 18 0 0
2026-01-10 16:45:03,44 72 62 46 0 75 18 0 0
2026-01-10 16:45:08,44 72 62 46 0 75 18 0 0
2026-01-10 16:45:13,44 72 62 46 0 75 18 0 0
2026-01-10 16:45:18,44 72 62 46 0 75 18 0 0
2026-01-10 16:45:23,44 72 62 46 0 75 18 0 0
2026-01-10 16:45:28,44 72 62 46 0 75 18 0 0
2026-01-10 16:45:33,44 72 62 46 0 75 18 0 0
2026-01-10 16:45:38,44 72 62 46 0 75 18 0 0
2026-01-10 16:45:43,44 72 62 46 0 75 18 0 0
2026-01-10 16:45:48,44 72 62 46 0 75 18 0 0
2026-01-10 16:45:53,44 72 62 46 0 75 18 0 0
2026-01-10 16:45:58,44 72 62 46 0 75 18 0 0
2026-01-10 16:46:03,44 72 62 46 0 75 18 0 0
2026-01-10 16:46:08,44 72 62 46 0 75 18 0 0
2026-01-10 16:46:13,44 72 62 46 0 75 18 0 0
2026-01-10 16:46:13,44 72 62 46 0 75 18 0 0
2026-01-10 16:46:18,44 72 62 46 0 75 18 0 0
2026-01-10 16:46:23,44 72 62 46 0 75 18 0 0
2026-01-10 16:46:28,44 72 62 46 0 75 18 0 0
2026-01-10 16:46:33,44 72 62 46 0 75 18 0 0
2026-01-10 16:46:38,44 72 62 46 0 75 18 0 0
2026-01-10 16:46:43,44 72 62 46 0 75 18 0 0
2026-01-10 16:46:48,44 72 62 46 0 75 18 0 0
2026-01-10 16:46:53,44 72 62 46 0 75 18 0 0
2026-01-10 16:46:58,44 72 62 46 0 75 18 0 0
2026-01-10 16:47:03,44 72 62 46 0 75 18 0 0
2026-01-10 16:47:08,44 72 62 46 0 75 18 0 0
2026-01-10 16:47:13,44 72 62 46 0 75 18 0 0
2026-01-10 16:47:18,44 72 62 46 0 75 18 0 0
2026-01-10 16:47:22,44 72 62 46 0 75 18 0 0
2026-01-10 16:47:23,44 72 62 46 0 75 18 0 0
2026-01-10 16:47:28,44 72 62 46 0 75 18 0 0
2026-01-10 16:48:32,44 72 62 46 0 75 18 0 0
2026-01-10 16:49:42,44 72 62 46 0 75 18 0 0
2026-01-10 16:50:52,44 72 62 46 0 75 18 0 0
2026-01-10 16:52:01,44 72 62 46 0 75 18 0 0
2026-01-10 16:53:11,44 72 62 46 0 75 18 0 0
2026-01-10 16:54:21,44 72 62 46 0 75 18 0 0
2026-01-10 16:55:31,44 72 62 46 0 75 18 0 0
2026-01-10 16:56:40,44 72 62 46 0 75 18 0 0
2026-01-10 16:57:50,44 72 62 46 0 75 18 0 0
2026-01-10 16:59:00,44 72 62 46 0 75 18 0 0
2026-01-10 17:00:10,44 72 62 46 0 75 18 0 0
2026-01-10 17:01:19,44 72 62 46 0 75 18 0 0
2026-01-10 17:02:29,44 72 62 46 0 75 18 0 0
2026-01-10 17:03:39,44 72 62 46 0 75 18 0 0
2026-01-10 17:04:48,44 72 62 46 0 75 18 0 0
2026-01-10 17:05:58,44 72 62 46 0 75 18 0 0
